 별표 5개  역사의 섬 좋아요
 별표 5개  ㅈㄱㅈㄱㅈㄴ
 별표 5개  완전 좋아요.
 별표 3개  차가 너무 막히는 강화 그것만빼면 정말 좋은 장소
 별표 4개  1번감
 별표 4개  그냥
 별표 5개  강화도 섬이라고 이름하지만 섬이 아닌곳
서쪽해변은  경치가 너무 좋아서인지  전원주택과 펜션이  명당자리는 모두 차지 했네요
 별표 5개  처음에는 걍 그랬는데 계속 있다 보니 재미있었다.
 별표 4개  늘 방문해도 좋은 곳
 별표 4개  한정환
 별표 5개  음.........
 별표 4개  ㅎㅎ
 별표 4개  (Google 번역) 재미 있지만 약간 위험

(원본)
好玩但有點危險
 별표 4개  (Google 번역) 슬로프 블록은 자극에 좋습니다

(원본)
斜坡滑車好刺激
 별표 5개  (Google 번역) 꼭 방문해야 할 곳은 강화도입니다.

(원본)
A must visit place is the Ganghwa-do fortress...
 별표 5개  (Google 번역) 이 섬은 유네스코 유산 지위를 얻었습니다. 동부 해안을 2 일간 트레킹하는 동안 우리는 많은 요새를 방문하고 한국 역사에 대해 많은 것을 배웠습니다. 마을을 통과하는 산책은 평화 로워 보이지만 섬에는 폭풍우가 넘친 역사가 있습니다. 여행의 벚꽃은 북한의 경치를 조망할 수있는 강화의 평화 기념관이었습니다.

(원본)
The island has earned its Unesco heritage status.…
 별표 3개  (Google 번역) 한국 밖의 유적지를 배우고 탐험하기에 좋은 곳.

(원본)
Great place to learn and explore Korea's historic sites outside of Seoul.
 별표 4개  (Google 번역) 맛있는 무우 원산지

(원본)
好吃的蘿蔔產地
 별표 4개  (Google 번역) 좋은 장소

(원본)
Good place
 별표 5개  
 별표 4개  
 별표 5개  
 별표 5개  
 별표 3개  
 별표 4개  
 별표 1개  
 별표 5개  
 별표 4개  
 별표 5개  
 별표 5개  
 별표 5개  
 별표 2개  
 별표 1개  
 별표 5개  
 별표 3개  
 별표 1개  
 별표 4개  
 별표 5개  
 별표 1개  
 별표 1개  
 별표 4개  
 별표 1개  
 별표 1개  
 별표 5개  
 별표 1개  
 별표 3개  
 별표 3개  
 별표 5개  
 별표 5개  
 별표 5개  
 별표 3개  
 별표 1개  
 별표 4개  
 별표 5개  
 별표 5개  
